相談内容,回答内容,回答に使用したQA資料
人権問題,滋賀県国際協会の情報に基づくと、人権問題に関しては外国人人権ダイヤルなどの窓口が案内されています。具体的には外国人の人権課題や相談については外国人人権ダイヤル（電話 0570-090911、対応言語: 英語・中国語・韓国語・フィリピノ語・ポルトガル語・ベトナム語）が利用可能です。また、法テラスを通じた多言語対応の法的支援窓口があり、緊急性の高い人権関連の法的支援を受ける体制が整っています。人権侵害を含む問題については、上記窓口を活用して相談・支援を受けることが推奨されています。,"[{""sid"": ""S1"", ""question"": ""人権侵害について"", ""answer"": ""外国人人権ダイヤル\nTel 0570-090911\n対応言語：英語，中国語，韓国語，フィリピノ語，ポルトガル語、ベトナム語\n(English, Chinese, Korean, Filipino, Portuguese, Vietnamese)""}]"
結婚する際の休みについて,婚姻届の手続き自体に休暇は定義されていません。職場の就業規則や雇用契約に基づく休暇制度（結婚休暇が明記されている場合など）を確認してください。一般には、婚姻届提出のための私的な時間の取扱いは会社ごとに異なりますので、事前に勤務先と相談してください。,"[{""sid"": ""S1"", ""question"": ""婚姻届"", ""answer"": ""- 外国人が日本国内で結婚する場合は両人の本国の法律と日本の法律にしたがって婚姻の手続きをしなければなりせん。\n- 本国の在日領事館または、大使館に婚姻の手続きについて問い合わせてください。\n- 婚姻に関しては、本国で定められている婚姻法に従って、必要書類をそろえ手続きをしてください。（書類の日本語訳文も必要です）\n- 婚姻届を届出人の所在地の市町村役場の戸籍係に提出してください。""}]"
請求書が届いた,請求書が届いた場合の具体的な対応は、滋賀県国際協会の情報には記載がありません。一般的な対応としては、請求書の発行元へ内容を確認し、記載内容に従って手続きを行ってください。なお詳しい情報は国税庁の外国語版申告書や確定申告関連の案内とは別の話題です。,"[{""sid"": ""S1"", ""question"": ""年末調整の各種申告書（扶養控除等申告書など）について"", ""answer"": ""国税庁のウェブサイト内で、《外国語版》各種申告書（扶養控除等申告書など）が公開されています。\n【６言語版】\n英語、中国語、ポルトガル語、スペイン語、ベトナム語、フィリピノ語\nご活用ください。""}]"
ベトナム人との結婚,ベトナム人と日本国内で結婚する場合は、両人の本国の法律と日本の法律に従い婚姻手続きをします。手続き方法は本国の在日領事館または大使館に問い合わせ、必要書類を揃え日本語訳文も用意してください。婚姻届は届出人の所在地の市町村役場の戸籍係に提出します。,"[{""sid"": ""S1"", ""question"": ""婚姻届"", ""answer"": ""- 外国人が日本国内で結婚する場合は両人の本国の法律と日本の法律にしたがって婚姻の手続きをしなければなりせん。\n- 本国の在日領事館または、大使館に婚姻の手続きについて問い合わせてください。\n- 婚姻に関しては、本国で定められている婚姻法に従って、必要書類をそろえ手続きをしてください。（書類の日本語訳文も必要です）\n- 婚姻届を届出人の所在地の市町村役場の戸籍係に提出してください。""}]"
脱退一時金の説明,脱退一時金は、日本国籍を有しない方が国民年金または厚生年金の被保険者資格を喪失し、日本を出国した場合、日本に住所がなくなった日から2年以内に請求できます。帰国する外国人が6ヶ月以上加入していれば、脱退一時金を受け取ることができます。,"[{""sid"": ""S1"", ""question"": ""脱退一時金 　＜公的年金の受給資格がないけれど、帰国する場合など＞"", ""answer"": ""日本国籍を有しない方が、国民年金又は厚生年金の被保険者資格を喪失し、日本を出国した場合、日本に住所がなくなった日から２年以内に脱退一時金を請求することができます。帰国する外国人が６ヶ月以上加入していれば、脱退一時金を受け取ることができます。""}]"
非課税証明書について,滋賀県国際協会の情報だけを根拠に、非課税証明書についての言及はS1～S5の情報には含まれていません。従って、非課税証明書の発出や取り扱いに関する具体的な案内は提供できません。必要であれば、関係機関の公式情報を確認してください。,"[{""sid"": ""S1"", ""question"": ""年末調整の各種申告書（扶養控除等申告書など）について"", ""answer"": ""国税庁のウェブサイト内で、《外国語版》各種申告書（扶養控除等申告書など）が公開されています。\n【６言語版】\n英語、中国語、ポルトガル語、スペイン語、ベトナム語、フィリピノ語\nご活用ください。""}]"
履歴書の書き方について,滋賀県国際協会の情報のみを根拠に、事実ベースで回答します。履歴書の書き方については、提供された資料には直接の具体例は記載されていません。従って、公式の「未来のための進路ガイダンス」資料や婚姻関連情報の範囲外となります。履歴書の一般的な留意点としては、氏名・連絡先・学歴・職歴・免許・志望動機・自身の強み・志望する職種を明確に整理し、読みやすいレイアウトで箇条書きを適切に使用すること、正確な日本語で記入すること、誤字脱字を避けることが挙げられます。ただし、滋賀県国際協会の公式ガイドラインではなく一般的な履歴書作成の一般論です。必要であれば、該当するPDF資料の該当ページを確認のうえ、具体的な指針を再度ご提供します。,"[{""sid"": ""S1"", ""question"": ""中学卒業後の進路"", ""answer"": ""「未来のための進路ガイダンス」資料（PDFファイル）\n- 日本語版 にほんご (/sites/default/files/project/multicultural_career2023.pdf) 英語版 English (/sites/default/files/project/multicultural_career2023en.pdf) ポルトガル語版 Portugués (/sites/default/files/project/multicultural_career2023pt.pdf) スペイン語版 Portugués (/sites/default/files/project/multicultural_career2023es.pdf) タガログ語版 Tagalog (/sites/default/files/project/multicultural_career2023tl.pdf) 中国語版 中文 (/sites/default/files/project/multicultural_career2023zh-cn.pdf) ベトナム語版 Bản tiếng Việt (/sites/default/files/project/multicultural_career2023vt.pdf) ネパール語版 जापानीभाषा (/sites/default/files/project/multicultural_career2023ne.pdf)""}]"
慰謝料,ご質問の“慰謝料”に関しては、滋賀県国際協会の情報には記載がありません。従って、滋賀県内の法的取り扱いや金額の目安等は、専門の法務機関や弁護士、または公的機関にご相談ください。,"[{""sid"": ""S4"", ""question"": ""賃貸住居"", ""answer"": ""家やアパートを借りたい場合は、不動産業者に相談してください。\n\n契約に必要とされるのは\n敷金\n家賃支払いの担保として家主に預けておくお金です。退去する際に返金されるものです。未払い賃料および借りていた家の中に損害がある場合は、その修理費をさし引かれますが、残高が戻ります。\n礼金\n家主に支払う一時金で返金されないもの。\n報酬\n不動産業者に仲介を依頼した時は、通常1ヶ月分が必要です。""}]"
外国離婚の承認裁判について,滋賀県内の情報源としては、外国離婚の承認裁判に関する具体的な手続きや要件の記載はS1に含まれていません。S1は離婚の準拠法や日本法適用時の協議離婚等についての一般的な概要です。外国離婚の承認裁判（外国法で離婚が成立した場合の日本国内での承認手続き）についての詳細は、滋賀県国際協会の情報のみでは確認できないため、在日公館や法務省・裁判所の公式情報をご参照ください。必要に応じて、最寄りの外国人総合窓口や大津地方法務局などにご相談ください。,"[{""sid"": ""S1"", ""question"": ""離婚届"", ""answer"": ""- それぞれの夫婦が離婚する場合、どの国の法律が適用されるかという準拠法に深くかかわってきます。\n- 日本では、離婚の準拠法について、第一に夫婦の本国方が同一の時はその法律（共通本国法）により、第二にその共通本国法がない場合において夫婦の常居所地法が同一であるときはその法律によるが、第三にそのいずれの法律もない時は夫婦にもっとも密接な関係のある地の法律（密接関連法）による、とされていますが、これには例外があって、夫婦の一方が日本に常居所がある日本人であるときは、日本の法律によって決められます。\n- 日本の法律が適用される場合、協議離婚をすることができます。協議が成立しない場合は、家庭裁判所の調停や審判による離婚、地方裁判所の判決による離婚のいずれの方法もとることができます。\n- 各国の離婚に関する法律については、各在日公館にお問い合わせください。""}]"
出産手当について,出産手当金は、健康保険に加入している人が、妊娠・出産で休業した期間中に支給される給付です。給付額は、直近一年間のお給料を平均した額のおおよそ2/3で、対象期間は出産日以前42日間（多胎妊娠は98日間）と出産日後56日間です。手続きは会社を通じて健康保険に申請します。なお、扶養家族の出産は対象外で、市町村の国民健康保険にはこの制度はありません。産休中も社会保険料の支払いが免除されます。,"[{""sid"": ""S1"", ""question"": ""【健康保険シリーズ5】子どもが生まれたら"", ""answer"": ""健康保険は病気になったときの給付だけではありません。他にもさまざまな給付があります。今日はその中でも、出産にかかわる健康保険からの給付をご紹介します。出産を控えている方にはぜひ知っておいて欲しい制度です。\n出産は保険が使えるの？「出産育児一時金」\n正常な妊娠・出産は病気ではありませんので、健康保険の対象外となります。3割負担での受診はできません。\nしかし「出産育児一時金」の直接払いの手続きをすれば、出産費用が補助されます。\n病院では補助される額を超えた分のみの費用負担で済みます。\n補助額\n一児につき50万円\n（重度の脳性麻痺を保障する制度に加入していない病院では４8.８万円）\n対象者\n妊娠４ヵ月（８５日）以降の出産で、死産を含みます。\n手続き方法\n病院で手続きができます。利用申込の書類に署名してください。\n出産育児一時金 URL: https://www.kyoukaikenpo.or.jp/g6/cat620/r310/ (https://www.kyoukaikenpo.or.jp/g6/cat620/r310/)\n*頁右上の Select language で言語を選択（英語、中国語（簡体字、繁体字）、韓国語、スペイン語、ポルトガル語）\n出産で会社を休んだら？　「出産手当金」\n妊娠や出産で長期間仕事を休むと、お給料が支払われなくなり生活に困ることもあります。しかし会社で健康保険に加入して働いている方は、「出産手当金」を請求すれば生活保障として手当金が支給されます。（扶養家族の出産は対象外です。また市町村の国民健康保険には、この制度はありません）\n給付額\n直近一年間のお給料を平均した額のおおよそ2/3\n対象期間\n出産日以前42日間（多胎妊娠は98日間）＋出産日後56日間\n手続き方法\n会社を通して健康保険に申請してください。\n出産手当金 URL: https://www.kyoukaikenpo.or.jp/g6/cat620/r311/ (https://www.kyoukaikenpo.or.jp/g6/cat620/r311/)\n*頁右上の Select language で言語を選択\nまた毎月のお給料から引かれている社会保険料も、産休中は支払いが免除されます。\n会社の総務の方に相談してみてください。""}]"
日本語を学びたい,滋賀県国際協会の情報ベースでは、日本語を学びたい方向けの公式情報として、滋賀県内の日本語教育機関に関する記載は確認できません。代わりに、以下の選択肢があります。1) 滋賀県内の日本語教育機関を直接探す、2) 日本語学習の相談窓口や地域の国際交流団体に問い合わせる、3) 日本語学習のオンラインリソースを活用する。必要であれば、滋賀県内の日本語教育機関を特定するお手伝いをします。,"[{""sid"": ""S1"", ""question"": ""日本語学校 Japanese Language Schools"", ""answer"": ""- 京都日本語学校 (Kyoto Japanese Language School) (http://kjls.or.jp/)\n- 京都文化日本語学校 (Kyoto Institute of Culture and Language) (http://www.kicl.ac.jp/jp/)\n- 京都民際日本語学校 (Kyoto Minsai Japanese Language School) (http://www.kyotominsai.co.jp/)\n- 京都日本語研修センター(Kyoto Japanese Language Training Center) (http://www.kjltc.jp/)\n- YIC京都日本語学院 (YIC Kyoto Japanese Academy) (http://www.yic-kyoto.ac.jp/japanese/)\n- 京都国際アカデミー(Kyoto International Academy of Japanese Language) (http://www.kia-ac.jp/index.html)\n- 日本語センター(Kyoto Japanese Language School) (https://nihongo-center.com/)\n- ARC 京都日本語学校 (ARC Academy Kyoto) (http://japanese.arc-academy.co.jp/?lang=ja)\n- にほんご空間・京都 (Japanese Space Kyoto) (http://j-space.sakura.ne.jp/wp2/)\n- 京進ランゲージアカデミー(Kyoshin Language Academy-Kyoto Chuo School) (http://www.kla.ac/jp/kyoto_chuo/)\n- ISIランゲージスクール 京都校 (ISI Japanese Language School - Kyoto campus) (http://www.isi-education.com/ja/)""}]"
在留資格の変更　（難民と教員ビザについて）,滋賀県国際協会が提供する情報の範囲内において、在留資格の変更について具体的な手続きや要件の案内はS2に含まれていません。難民認定や教員ビザ（在留資格変更の対象となるか等）についての詳細は、出入国在留管理庁の公式情報（MOJ）をご参照ください。滋賀県内の窓口案内としては、大津出張所で在留関係の手続きが案内されていますが、個別の在留資格変更の可否・要件については公式ページをご確認ください。S2の情報を超える具体的な回答は提供できません。,"[{""sid"": ""S2"", ""question"": ""在留について"", ""answer"": ""日本に住む外国人には、それぞれの滞在目的に従って在留資格と在留期間が与えられます。おのおのの「在留資格」には活動できる内容が厳格に規定されています。\n関連ページ\n出入国在留管理庁 (http://www.moj.go.jp/isa/index.html)\n在留関係の手続きについては\n在留関係手続き (https://www.moj.go.jp/isa/applications/index.html)\n入国後の在留関係の手続き\n滋賀県在住の方は、\n大阪入国管理局大津出張所\nで行います。\n大阪入国管理局大津出張所 (http://www.moj.go.jp/isa/about/region/osaka/index.html)\n大津市京町3-1-1 大津びわ湖合同庁舎6階　　℡：077-511-4231\n一般的な内容についての相談\n外国人在留インフォメーションセンター・ワンストップ型相談センター（入国管理局）に外国語で問い合わせることもできます。\n外国人在留インフォメーションセンター (http://www.moj.go.jp/isa/consultation/center/japanese.html)\n℡ 0570-013904（ＩＰ, ＰＨＳ, 海外: 03-5796-7112）\n新しい在留資格への移行により、平成24年7月9日より前の住所は住民票には記載されません。 ※これまで市区町村で保管されていた「外国人登録原票」は、平成24年7月9日から法務省で保管されています。\n外国人登録原票に係る開示請求について（法務省HPへリンク） (http://www.moj.go.jp/isa/applications/disclosure/foreigner.html)""}]"
